"year","variable","value"
2000,"l5",146.468699839486
2001,"l5",204.596412556054
2002,"l5",644.876325088339
2003,"l5",907.960199004975
2004,"l5",226.708074534161
2005,"l5",203.91061452514
2006,"l5",114.133833646029
2007,"l5",99.7813012575178
2008,"l5",117.590206185567
2009,"l5",106.351981351981
2010,"l5",109.741431148527
2011,"l5",118.352788586252
2012,"l5",NA
2013,"l5",NA
2014,"l5",NA
2015,"l5",NA
2016,"l5",NA
2017,"l5",NA
2018,"l5",NA
2000,"l7",66.7520117044623
2001,"l7",52.8372900984366
2002,"l7",41.0112359550562
2003,"l7",48.9276139410188
2004,"l7",42.8102275392916
2005,"l7",37.1539087947883
2006,"l7",43.4523809523809
2007,"l7",39.1546878352285
2008,"l7",37.8787878787879
2009,"l7",40.8003577017662
2010,"l7",47.7373790217107
2011,"l7",46.8188814776809
2012,"l7",36.4198762722012
2013,"l7",33.1095791001451
2014,"l7",29.407025459233
2015,"l7",26.1124624409787
2016,"l7",26.1012585812357
2017,"l7",26.576379787389
2018,"l7",26.9611464027183
2000,"l8",NA
2001,"l8",NA
2002,"l8",NA
2003,"l8",NA
2004,"l8",NA
2005,"l8",NA
2006,"l8",NA
2007,"l8",NA
2008,"l8",NA
2009,"l8",NA
2010,"l8",NA
2011,"l8",NA
2012,"l8",NA
2013,"l8",33.2241034043328
2014,"l8",24.5196829235523
2015,"l8",23.1071157255001
2016,"l8",23.4274711168164
2017,"l8",23.7136174636175
2018,"l8",24.8773173391494
2000,"s2",NA
2001,"s2",NA
2002,"s2",NA
2003,"s2",NA
2004,"s2",NA
2005,"s2",NA
2006,"s2",NA
2007,"s2",NA
2008,"s2",NA
2009,"s2",NA
2010,"s2",NA
2011,"s2",NA
2012,"s2",NA
2013,"s2",NA
2014,"s2",NA
2015,"s2",39.7084421235857
2016,"s2",9.4958114365992
2017,"s2",9.81657791404443
2018,"s2",6.65499762972687
2000,"s1",NA
2001,"s1",NA
2002,"s1",NA
2003,"s1",NA
2004,"s1",NA
2005,"s1",NA
2006,"s1",NA
2007,"s1",NA
2008,"s1",NA
2009,"s1",NA
2010,"s1",NA
2011,"s1",NA
2012,"s1",NA
2013,"s1",NA
2014,"s1",100.38503850385
2015,"s1",15.4138513513514
2016,"s1",11.8468029860435
2017,"s1",7.46573941501329
2018,"s1",6.78741445998215
2000,"all_s",NA
2001,"all_s",NA
2002,"all_s",NA
2003,"all_s",NA
2004,"all_s",NA
2005,"all_s",NA
2006,"all_s",NA
2007,"all_s",NA
2008,"all_s",NA
2009,"all_s",NA
2010,"all_s",NA
2011,"all_s",NA
2012,"all_s",NA
2013,"all_s",NA
2014,"all_s",100.38503850385
2015,"all_s",11.1036748600633
2016,"all_s",5.27091035120148
2017,"all_s",4.24063574681662
2018,"all_s",3.36027692364346
2000,"all_l",45.8542713567839
2001,"all_l",41.9926369075012
2002,"all_l",38.5590534544686
2003,"all_l",46.425845840753
2004,"all_l",36.0102604577743
2005,"all_l",31.4275873945238
2006,"all_l",31.4709432660804
2007,"all_l",28.1201848998459
2008,"all_l",28.6499215070644
2009,"all_l",29.4878009371465
2010,"all_l",33.2664965366387
2011,"all_l",33.5477941176471
2012,"all_l",36.4198762722012
2013,"all_l",16.5833711949114
2014,"all_l",13.3709429262217
2015,"all_l",12.2590179351112
2016,"all_l",12.3460966039778
2017,"all_l",12.5317585662295
2018,"all_l",12.9386742289968
2000,"modis",1.140625
2001,"modis",1.01388888888889
2002,"modis",0.991847826086957
2003,"modis",0.991847826086957
2004,"modis",0.991847826086957
2005,"modis",0.991847826086957
2006,"modis",0.991847826086957
2007,"modis",0.991847826086957
2008,"modis",0.991847826086957
2009,"modis",0.991847826086957
2010,"modis",0.991847826086957
2011,"modis",0.991847826086957
2012,"modis",0.991847826086957
2013,"modis",0.991847826086957
2014,"modis",0.991847826086957
2015,"modis",0.991847826086957
2016,"modis",0.991847826086957
2017,"modis",0.991847826086957
2018,"modis",0.991847826086957
2000,"planetscope",NA
2001,"planetscope",NA
2002,"planetscope",NA
2003,"planetscope",NA
2004,"planetscope",NA
2005,"planetscope",NA
2006,"planetscope",NA
2007,"planetscope",NA
2008,"planetscope",NA
2009,"planetscope",NA
2010,"planetscope",NA
2011,"planetscope",NA
2012,"planetscope",NA
2013,"planetscope",NA
2014,"planetscope",NA
2015,"planetscope",2370.12987012987
2016,"planetscope",12.1812842077159
2017,"planetscope",1.88253012048193
2018,"planetscope",1.50882559629614
2000,"rapideye",NA
2001,"rapideye",NA
2002,"rapideye",NA
2003,"rapideye",NA
2004,"rapideye",NA
2005,"rapideye",NA
2006,"rapideye",NA
2007,"rapideye",NA
2008,"rapideye",NA
2009,"rapideye",251.031636863824
2010,"rapideye",68.4803001876173
2011,"rapideye",80.3610744165566
2012,"rapideye",63.324080499653
2013,"rapideye",36.5219131478887
2014,"rapideye",34.3497082627517
2015,"rapideye",41.5339098771051
2016,"rapideye",51.5682396157107
2017,"rapideye",47.2064148991205
2018,"rapideye",100
2000,"all_planet",NA
2001,"all_planet",NA
2002,"all_planet",NA
2003,"all_planet",NA
2004,"all_planet",NA
2005,"all_planet",NA
2006,"all_planet",NA
2007,"all_planet",NA
2008,"all_planet",NA
2009,"all_planet",251.031636863824
2010,"all_planet",68.4803001876173
2011,"all_planet",80.3610744165566
2012,"all_planet",63.324080499653
2013,"all_planet",36.5219131478887
2014,"all_planet",34.3497082627517
2015,"all_planet",40.8186088123462
2016,"all_planet",9.85367960693267
2017,"all_planet",1.81033627616308
2018,"all_planet",1.4863984362274
2000,"dg",1155.06329113924
2001,"dg",885.922330097087
2002,"dg",741.869918699187
2003,"dg",822.072072072072
2004,"dg",1147.79874213836
2005,"dg",881.642512077295
2006,"dg",522.922636103152
2007,"dg",467.948717948718
2008,"dg",275.26395173454
2009,"dg",167.893284268629
2010,"dg",132.92061179898
2011,"dg",111.757501530925
2012,"dg",134.388807069219
2013,"dg",56.3967861557478
2014,"dg",63.2801664355062
2015,"dg",54.8048048048048
2016,"dg",44.5992179863148
2017,"dg",45.9929435483871
2018,"dg",62.3931623931624
